City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
18,Cockburn Town,TC,76.93,few clouds,21.4612,-71.1419,Osprey Beach Hotel
20,Valenca,BR,75.99,overcast clouds,-13.3703,-39.0731,Hotel Galeão
30,Carnarvon,AU,84.2,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
31,Hithadhoo,MV,82.69,overcast clouds,-0.6,73.0833,Scoop Guest House
33,Bermejo,AR,75.2,clear sky,-32.8833,-68.8,Hotel Mendoza
35,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
45,Dhanwar,IN,75.78,few clouds,24.4167,85.9833,K G N HOTEL
46,San Andres,CO,80.74,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
51,Saint-Philippe,RE,86.0,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
57,Soure,BR,79.0,broken clouds,-0.7167,-48.5233,Casarão
59,De Aar,ZA,77.38,clear sky,-30.6497,24.0123,Stoneburgh B&B
60,Islamkot,PK,79.14,clear sky,24.6997,70.177,Haji Hotel
66,Cayenne,GF,77.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
81,Conde,BR,75.2,few clouds,-7.2597,-34.9075,Pousada Beija Flor
83,Antalaha,MG,83.89,broken clouds,-14.9003,50.2788,Hotel Vitasoa
87,Saint-Joseph,RE,86.0,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
91,Bengkulu,ID,86.13,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
95,Mahibadhoo,MV,81.46,scattered clouds,3.7833,72.9667,Omadhoo Inn
108,Victoria,HK,75.2,few clouds,22.2855,114.1577,Mini Hotel Central
109,Angoche,MZ,78.78,overcast clouds,-16.2325,39.9086,Guest House HESADA
117,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
118,Ampanihy,MG,85.73,overcast clouds,-24.7,44.75,Angora Hotel
120,Mayumba,GA,78.06,overcast clouds,-3.432,10.6554,LIKWALE LODGE
133,Tete,MZ,82.4,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
134,Sainte-Suzanne,RE,86.0,clear sky,-20.9061,55.6089,Gites Ango
141,Sao Joao Da Barra,BR,75.81,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
144,Geraldton,AU,78.8,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
146,Axim,GH,79.12,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
153,Sao Mateus,BR,76.77,moderate rain,-18.7161,-39.8589,Hotel Rio Norte
155,Kismayo,SO,80.35,scattered clouds,-0.3582,42.5454,Agan-Hotel
157,Hambantota,LK,84.2,light rain,6.1241,81.1185,Bungalow 63
166,Dwarka,IN,75.42,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
167,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
179,Grand Gaube,MU,80.01,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
180,Kavaratti,IN,80.87,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
181,Oriximina,BR,78.42,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
185,Maragogi,BR,76.21,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
