city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,21.0,93,90,9.22,light snow
1,Talcahuano,CL,-36.7167,-73.1167,60.8,82,90,6.91,overcast clouds
2,Hermanus,ZA,-34.4187,19.2345,68.16,80,3,3.53,clear sky
3,Mairana,BO,-18.1167,-63.9333,60.06,72,88,2.62,overcast clouds
4,Lagoa,PT,39.05,-27.9833,58.55,85,91,18.75,overcast clouds
5,Bredasdorp,ZA,-34.5322,20.0403,59.0,94,0,1.14,clear sky
6,Lebu,CL,-37.6167,-73.65,56.52,95,12,0.83,few clouds
7,Upernavik,GL,72.7868,-56.1549,10.53,74,100,6.2,overcast clouds
8,Machinga,MW,-15.1685,35.3,74.03,92,99,0.92,light rain
9,Ushuaia,AR,-54.8,-68.3,41.0,93,75,17.27,broken clouds
10,Aswan,EG,24.0934,32.907,59.18,55,0,12.59,clear sky
11,Sao Filipe,CV,14.8961,-24.4956,68.74,76,6,16.2,clear sky
12,Arraial Do Cabo,BR,-22.9661,-42.0278,73.67,96,100,4.59,overcast clouds
13,Menongue,AO,-14.6585,17.691,66.13,84,82,4.27,broken clouds
14,Kiruna,SE,67.8557,20.2251,21.2,93,90,9.22,light snow
15,Mar Del Plata,AR,-38.0023,-57.5575,71.01,72,0,11.5,clear sky
16,Loukhi,RU,66.0764,33.0381,7.29,96,97,4.45,overcast clouds
17,Rocha,UY,-34.4833,-54.3333,55.83,91,0,3.74,clear sky
18,Cockburn Town,TC,21.4612,-71.1419,76.93,85,15,18.41,few clouds
19,Ravar,IR,31.2656,56.8055,64.54,23,65,1.66,broken clouds
20,Valenca,BR,-13.3703,-39.0731,75.99,88,98,3.4,overcast clouds
21,East London,ZA,-33.0153,27.9116,71.6,100,90,5.75,light rain
22,Iqaluit,CA,63.7506,-68.5145,19.4,79,40,13.8,scattered clouds
23,Port Elizabeth,ZA,-33.918,25.5701,71.6,88,75,4.61,broken clouds
24,Puertollano,ES,38.6871,-4.1073,48.0,92,100,3.0,overcast clouds
25,Kruisfontein,ZA,-34.0033,24.7314,72.0,83,31,1.99,scattered clouds
26,Ribeira Grande,PT,38.5167,-28.7,59.43,83,100,16.4,overcast clouds
27,Ponta Do Sol,PT,32.6667,-17.1,51.01,69,57,3.0,broken clouds
28,Nijar,ES,36.9665,-2.206,57.0,67,20,4.61,few clouds
29,Saint George,US,37.1041,-113.5841,48.2,34,1,4.41,clear sky
30,Carnarvon,AU,-24.8667,113.6333,84.2,100,75,21.85,broken clouds
31,Hithadhoo,MV,-0.6,73.0833,82.69,76,90,16.31,overcast clouds
32,Hun,LY,29.1268,15.9477,57.34,37,47,7.11,scattered clouds
33,Bermejo,AR,-32.8833,-68.8,75.2,43,0,5.75,clear sky
34,Marystown,CA,47.1666,-55.1483,34.14,90,89,14.56,overcast clouds
35,Souillac,MU,-20.5167,57.5167,77.0,94,75,6.91,light rain
36,Nieuwpoort,BE,51.1244,2.7735,43.0,100,75,3.44,mist
37,Cape Town,ZA,-33.9258,18.4232,70.0,94,20,13.8,few clouds
38,Ati,TD,13.2154,18.3353,59.32,32,3,12.26,clear sky
39,Barcelos,PT,41.5388,-8.6151,50.0,76,40,13.8,scattered clouds
40,Qaanaaq,GL,77.484,-69.3632,-1.84,79,100,7.72,overcast clouds
41,Tasiilaq,GL,65.6145,-37.6368,26.6,63,90,13.8,overcast clouds
42,Busselton,AU,-33.65,115.3333,69.01,55,100,3.0,overcast clouds
43,Eyemouth,GB,55.8713,-2.0901,37.0,96,100,7.0,light rain
44,Altay,CN,47.8667,88.1167,25.45,89,95,1.14,light snow
45,Dhanwar,IN,24.4167,85.9833,75.78,32,23,12.64,few clouds
46,San Andres,CO,12.5847,-81.7006,80.74,82,93,11.56,overcast clouds
47,Adrar,MR,20.5022,-10.0711,54.32,59,95,9.62,overcast clouds
48,Chuy,UY,-33.6971,-53.4616,57.52,92,2,6.51,clear sky
49,Baherden,TM,38.4362,57.4316,56.71,57,88,18.3,overcast clouds
50,Pangnirtung,CA,66.1451,-65.7125,21.24,87,100,2.62,overcast clouds
51,Saint-Philippe,RE,-21.3585,55.7679,86.0,62,20,5.75,few clouds
52,Guaira,BR,-20.3183,-48.3106,67.48,94,3,2.71,clear sky
53,Dikson,RU,73.5069,80.5464,-29.06,85,64,10.04,broken clouds
54,Luderitz,NA,-26.6481,15.1594,69.78,51,0,21.12,clear sky
55,Nanortalik,GL,60.1432,-45.2371,19.92,71,0,3.87,clear sky
56,Vestmannaeyjar,IS,63.4427,-20.2734,40.24,74,87,28.9,overcast clouds
57,Soure,BR,-0.7167,-48.5233,79.0,83,58,9.19,broken clouds
58,Katwijk,NL,52.1942,4.4222,43.0,95,99,5.01,overcast clouds
59,De Aar,ZA,-30.6497,24.0123,77.38,45,0,8.95,clear sky
60,Islamkot,PK,24.6997,70.177,79.14,16,0,12.46,clear sky
61,Kargalinskaya,RU,43.7417,46.4792,37.9,67,89,13.8,overcast clouds
62,Bouake,CI,7.6895,-5.0218,74.35,87,5,6.62,clear sky
63,Port Alfred,ZA,-33.5906,26.891,71.01,91,98,13.82,light rain
64,Georgetown,MY,5.4112,100.3354,91.4,52,20,4.61,few clouds
65,Logansport,US,40.7545,-86.3567,12.2,73,1,17.27,clear sky
66,Cayenne,GF,4.9333,-52.3333,77.0,100,75,5.75,broken clouds
67,Port-Cartier,CA,50.0334,-66.8654,30.99,100,100,6.91,light snow
68,Saldanha,ZA,-33.0117,17.9442,64.4,88,1,11.5,clear sky
69,Comodoro Rivadavia,AR,-45.8667,-67.5,57.2,77,20,6.91,few clouds
70,Gualaquiza,EC,-3.4,-78.55,63.97,88,99,1.19,light rain
71,Margate,GB,51.3813,1.3862,44.01,92,62,7.99,broken clouds
72,Barentu,ER,15.1139,37.5928,61.07,39,1,4.88,clear sky
73,Gat,IL,31.61,34.7642,55.99,100,20,1.14,mist
74,Nantucket,US,41.2835,-70.0995,39.0,100,1,12.66,clear sky
75,Kanadey,RU,53.1679,47.5264,4.91,91,91,16.28,overcast clouds
76,Laguna,US,38.421,-121.4238,48.2,71,1,3.87,clear sky
77,Hit,IQ,33.6416,42.8251,57.11,86,100,11.95,overcast clouds
78,Aromashevo,RU,56.8602,68.6375,34.77,99,100,12.64,overcast clouds
79,Coquimbo,CL,-29.9533,-71.3436,60.8,82,90,8.05,overcast clouds
80,Rovaniemi,FI,66.5,25.7167,17.6,86,100,8.05,overcast clouds
81,Conde,BR,-7.2597,-34.9075,75.2,94,20,2.3,few clouds
82,Los Llanos De Aridane,ES,28.6585,-17.9182,57.2,58,0,5.75,clear sky
83,Antalaha,MG,-14.9003,50.2788,83.89,66,63,2.37,broken clouds
84,Longyearbyen,SJ,78.2186,15.6401,23.0,80,75,13.8,broken clouds
85,Glace Bay,CA,46.1969,-59.957,33.01,100,75,5.75,broken clouds
86,Reconquista,AR,-29.15,-59.65,64.45,63,0,3.27,clear sky
87,Saint-Joseph,RE,-21.3667,55.6167,86.0,62,20,5.75,few clouds
88,Codrington,AU,-38.2667,141.9667,68.7,58,48,15.5,scattered clouds
89,Taoudenni,ML,22.6783,-3.9836,65.37,30,100,9.01,overcast clouds
90,Punta Arenas,CL,-53.15,-70.9167,41.0,75,0,5.75,clear sky
91,Bengkulu,ID,-3.8004,102.2655,86.13,62,62,10.6,broken clouds
92,Manzil Bu Zalafah,TN,36.6831,10.5843,59.0,66,40,4.61,scattered clouds
93,Bahir Dar,ET,11.5936,37.3908,66.52,32,32,3.2,scattered clouds
94,Hualmay,PE,-11.0964,-77.6139,69.64,82,100,5.68,overcast clouds
95,Mahibadhoo,MV,3.7833,72.9667,81.46,72,43,11.07,scattered clouds
96,La Sarre,CA,48.8002,-79.1996,16.0,95,99,10.04,overcast clouds
97,Qasigiannguit,GL,68.8193,-51.1922,10.4,37,20,4.61,few clouds
98,Zhanaozen,KZ,43.3,52.8,36.88,73,81,23.82,broken clouds
99,Pisco,PE,-13.7,-76.2167,71.6,88,0,3.44,clear sky
100,Fredericton,CA,45.9454,-66.6656,32.0,100,90,5.75,mist
